PassengerId,Survived,Pclass,Age,SibSp,Parch,male
256,1,3,29.0,0,2,0
257,1,1,42.0,0,0,0
258,1,1,30.0,0,0,0
259,1,1,35.0,0,0,0
260,1,2,50.0,0,1,0
261,0,3,24.0,0,0,1
262,1,3,3.0,4,2,1
263,0,1,52.0,1,1,1
264,0,1,40.0,0,0,1
265,0,3,24.0,0,0,0
266,0,2,36.0,0,0,1
267,0,3,16.0,4,1,1
268,1,3,25.0,1,0,1
269,1,1,58.0,0,1,0
270,1,1,35.0,0,0,0
271,0,1,42.0,0,0,1
272,1,3,25.0,0,0,1
273,1,2,41.0,0,1,0
274,0,1,37.0,0,1,1
275,1,3,24.0,0,0,0
276,1,1,63.0,1,0,0
277,0,3,45.0,0,0,0
278,0,2,26.5,0,0,1
279,0,3,7.0,4,1,1
280,1,3,35.0,1,1,0
281,0,3,65.0,0,0,1
282,0,3,28.0,0,0,1
283,0,3,16.0,0,0,1
284,1,3,19.0,0,0,1
285,0,1,42.0,0,0,1
286,0,3,33.0,0,0,1
287,1,3,30.0,0,0,1
288,0,3,22.0,0,0,1
289,1,2,42.0,0,0,1
290,1,3,22.0,0,0,0
291,1,1,26.0,0,0,0
292,1,1,19.0,1,0,0
293,0,2,36.0,0,0,1
294,0,3,24.0,0,0,0
295,0,3,24.0,0,0,1
296,0,1,42.0,0,0,1
297,0,3,23.5,0,0,1
298,0,1,2.0,1,2,0
299,1,1,42.0,0,0,1
300,1,1,50.0,0,1,0
301,1,3,24.0,0,0,0
302,1,3,24.0,2,0,1
303,0,3,19.0,0,0,1
304,1,2,26.5,0,0,0
305,0,3,24.0,0,0,1
306,1,1,0.92,1,2,1
307,1,1,42.0,0,0,0
308,1,1,17.0,1,0,0
309,0,2,30.0,1,0,1
310,1,1,30.0,0,0,0
311,1,1,24.0,0,0,0
312,1,1,18.0,2,2,0
313,0,2,26.0,1,1,0
314,0,3,28.0,0,0,1
315,0,2,43.0,1,1,1
316,1,3,26.0,0,0,0
317,1,2,24.0,1,0,0
318,0,2,54.0,0,0,1
319,1,1,31.0,0,2,0
320,1,1,40.0,1,1,0
321,0,3,22.0,0,0,1
322,0,3,27.0,0,0,1
323,1,2,30.0,0,0,0
324,1,2,22.0,1,1,0
325,0,3,24.0,8,2,1
326,1,1,36.0,0,0,0
327,0,3,61.0,0,0,1
328,1,2,36.0,0,0,0
329,1,3,31.0,1,1,0
330,1,1,16.0,0,1,0
331,1,3,24.0,2,0,0
332,0,1,45.5,0,0,1
333,0,1,38.0,0,1,1
334,0,3,16.0,2,0,1
335,1,1,42.0,1,0,0
336,0,3,24.0,0,0,1
337,0,1,29.0,1,0,1
338,1,1,41.0,0,0,0
339,1,3,45.0,0,0,1
340,0,1,45.0,0,0,1
341,1,2,2.0,1,1,1
342,1,1,24.0,3,2,0
343,0,2,28.0,0,0,1
344,0,2,25.0,0,0,1
345,0,2,36.0,0,0,1
346,1,2,24.0,0,0,0
347,1,2,40.0,0,0,0
348,1,3,24.0,1,0,0
349,1,3,3.0,1,1,1
350,0,3,42.0,0,0,1
351,0,3,23.0,0,0,1
352,0,1,42.0,0,0,1
353,0,3,15.0,1,1,1
354,0,3,25.0,1,0,1
355,0,3,24.0,0,0,1
356,0,3,28.0,0,0,1
357,1,1,22.0,0,1,0
358,0,2,38.0,0,0,0
359,1,3,24.0,0,0,0
360,1,3,24.0,0,0,0
361,0,3,40.0,1,4,1
362,0,2,29.0,1,0,1
363,0,3,45.0,0,1,0
364,0,3,35.0,0,0,1
365,0,3,24.0,1,0,1
366,0,3,30.0,0,0,1
367,1,1,60.0,1,0,0
368,1,3,24.0,0,0,0
369,1,3,24.0,0,0,0
370,1,1,24.0,0,0,0
371,1,1,25.0,1,0,1
372,0,3,18.0,1,0,1
373,0,3,19.0,0,0,1
374,0,1,22.0,0,0,1
375,0,3,3.0,3,1,0
376,1,1,42.0,1,0,0
377,1,3,22.0,0,0,0
378,0,1,27.0,0,2,1
379,0,3,20.0,0,0,1
380,0,3,19.0,0,0,1
381,1,1,42.0,0,0,0
382,1,3,1.0,0,2,0
383,0,3,32.0,0,0,1
384,1,1,35.0,1,0,0
385,0,3,24.0,0,0,1
386,0,2,18.0,0,0,1
387,0,3,1.0,5,2,1
388,1,2,36.0,0,0,0
389,0,3,24.0,0,0,1
390,1,2,17.0,0,0,0
391,1,1,36.0,1,2,1
392,1,3,21.0,0,0,1
393,0,3,28.0,2,0,1
394,1,1,23.0,1,0,0
395,1,3,24.0,0,2,0
396,0,3,22.0,0,0,1
397,0,3,31.0,0,0,0
398,0,2,46.0,0,0,1
399,0,2,23.0,0,0,1
400,1,2,28.0,0,0,0
401,1,3,39.0,0,0,1
402,0,3,26.0,0,0,1
403,0,3,21.0,1,0,0
404,0,3,28.0,1,0,1
405,0,3,20.0,0,0,0
406,0,2,34.0,1,0,1
407,0,3,51.0,0,0,1
408,1,2,3.0,1,1,1
409,0,3,21.0,0,0,1
410,0,3,24.0,3,1,0
411,0,3,24.0,0,0,1
412,0,3,24.0,0,0,1
413,1,1,33.0,1,0,0
414,0,2,26.5,0,0,1
415,1,3,44.0,0,0,1
416,0,3,24.0,0,0,0
417,1,2,34.0,1,1,0
418,1,2,18.0,0,2,0
