PassengerId,Pclass,Age,SibSp,Parch,male
79,2,0.83,0,2,1
80,3,30.0,0,0,0
81,3,22.0,0,0,1
82,3,29.0,0,0,1
83,3,24.0,0,0,0
84,1,28.0,0,0,1
85,2,17.0,0,0,0
86,3,33.0,3,0,0
87,3,16.0,1,3,1
88,3,24.0,0,0,1
89,1,23.0,3,2,0
90,3,24.0,0,0,1
91,3,29.0,0,0,1
92,3,20.0,0,0,1
93,1,46.0,1,0,1
94,3,26.0,1,2,1
95,3,59.0,0,0,1
96,3,24.0,0,0,1
97,1,71.0,0,0,1
98,1,23.0,0,1,1
99,2,34.0,0,1,0
100,2,34.0,1,0,1
101,3,28.0,0,0,0
102,3,24.0,0,0,1
103,1,21.0,0,1,1
104,3,33.0,0,0,1
105,3,37.0,2,0,1
106,3,28.0,0,0,1
107,3,21.0,0,0,0
108,3,24.0,0,0,1
109,3,38.0,0,0,1
110,3,24.0,1,0,0
111,1,47.0,0,0,1
112,3,14.5,1,0,0
113,3,22.0,0,0,1
114,3,20.0,1,0,0
115,3,17.0,0,0,0
116,3,21.0,0,0,1
117,3,70.5,0,0,1
118,2,29.0,1,0,1
119,1,24.0,0,1,1
120,3,2.0,4,2,0
121,2,21.0,2,0,1
122,3,24.0,0,0,1
123,2,32.5,1,0,1
124,2,32.5,0,0,0
125,1,54.0,0,1,1
126,3,12.0,1,0,1
127,3,24.0,0,0,1
128,3,24.0,0,0,1
129,3,24.0,1,1,0
130,3,45.0,0,0,1
131,3,33.0,0,0,1
132,3,20.0,0,0,1
133,3,47.0,1,0,0
134,2,29.0,1,0,0
135,2,25.0,0,0,1
136,2,23.0,0,0,1
137,1,19.0,0,2,0
138,1,37.0,1,0,1
139,3,16.0,0,0,1
140,1,24.0,0,0,1
141,3,24.0,0,2,0
142,3,22.0,0,0,0
143,3,24.0,1,0,0
144,3,19.0,0,0,1
145,2,18.0,0,0,1
146,2,19.0,1,1,1
147,3,27.0,0,0,1
148,3,9.0,2,2,0
149,2,36.5,0,2,1
150,2,42.0,0,0,1
151,2,51.0,0,0,1
152,1,22.0,1,0,0
153,3,55.5,0,0,1
154,3,40.5,0,2,1
155,3,24.0,0,0,1
156,1,51.0,0,1,1
157,3,16.0,0,0,0
158,3,30.0,0,0,1
159,3,24.0,0,0,1
160,3,24.0,8,2,1
161,3,44.0,0,1,1
162,2,40.0,0,0,0
163,3,26.0,0,0,1
164,3,17.0,0,0,1
165,3,1.0,4,1,1
166,3,9.0,0,2,1
167,1,42.0,0,1,0
168,3,45.0,1,4,0
169,1,42.0,0,0,1
170,3,28.0,0,0,1
171,1,61.0,0,0,1
172,3,4.0,4,1,1
173,3,1.0,1,1,0
174,3,21.0,0,0,1
175,1,56.0,0,0,1
176,3,18.0,1,1,1
177,3,24.0,3,1,1
178,1,50.0,0,0,0
179,2,30.0,0,0,1
180,3,36.0,0,0,1
181,3,24.0,8,2,0
182,2,26.5,0,0,1
183,3,9.0,4,2,1
184,2,1.0,2,1,1
185,3,4.0,0,2,0
186,1,42.0,0,0,1
187,3,24.0,1,0,0
188,1,45.0,0,0,1
189,3,40.0,1,1,1
190,3,36.0,0,0,1
191,2,32.0,0,0,0
192,2,19.0,0,0,1
193,3,19.0,1,0,0
194,2,3.0,1,1,1
195,1,44.0,0,0,0
196,1,58.0,0,0,0
197,3,24.0,0,0,1
198,3,42.0,0,1,1
199,3,24.0,0,0,0
200,2,24.0,0,0,0
201,3,28.0,0,0,1
202,3,24.0,8,2,1
203,3,34.0,0,0,1
204,3,45.5,0,0,1
205,3,18.0,0,0,1
206,3,2.0,0,1,0
207,3,32.0,1,0,1
208,3,26.0,0,0,1
209,3,16.0,0,0,0
210,1,40.0,0,0,1
211,3,24.0,0,0,1
212,2,35.0,0,0,0
213,3,22.0,0,0,1
214,2,30.0,0,0,1
215,3,24.0,1,0,1
216,1,31.0,1,0,0
217,3,27.0,0,0,0
218,2,42.0,1,0,1
219,1,32.0,0,0,0
220,2,30.0,0,0,1
221,3,16.0,0,0,1
222,2,27.0,0,0,1
223,3,51.0,0,0,1
224,3,24.0,0,0,1
225,1,38.0,1,0,1
226,3,22.0,0,0,1
227,2,19.0,0,0,1
228,3,20.5,0,0,1
229,2,18.0,0,0,1
230,3,24.0,3,1,0
231,1,35.0,1,0,0
232,3,29.0,0,0,1
233,2,59.0,0,0,1
234,3,5.0,4,2,0
235,2,24.0,0,0,1
236,3,24.0,0,0,0
237,2,44.0,1,0,1
238,2,8.0,0,2,0
239,2,19.0,0,0,1
240,2,33.0,0,0,1
241,3,24.0,1,0,0
242,3,24.0,1,0,0
243,2,29.0,0,0,1
244,3,22.0,0,0,1
245,3,30.0,0,0,1
246,1,44.0,2,0,1
247,3,25.0,0,0,0
248,2,24.0,0,2,0
249,1,37.0,1,1,1
250,2,54.0,1,0,1
251,3,24.0,0,0,1
252,3,29.0,1,1,0
253,1,62.0,0,0,1
254,3,30.0,1,0,1
255,3,41.0,0,2,0
256,3,29.0,0,2,0
257,1,42.0,0,0,0
258,1,30.0,0,0,0
259,1,35.0,0,0,0
260,2,50.0,0,1,0
261,3,24.0,0,0,1
262,3,3.0,4,2,1
263,1,52.0,1,1,1
264,1,40.0,0,0,1
265,3,24.0,0,0,0
266,2,36.0,0,0,1
267,3,16.0,4,1,1
268,3,25.0,1,0,1
269,1,58.0,0,1,0
270,1,35.0,0,0,0
271,1,42.0,0,0,1
272,3,25.0,0,0,1
273,2,41.0,0,1,0
274,1,37.0,0,1,1
275,3,24.0,0,0,0
276,1,63.0,1,0,0
277,3,45.0,0,0,0
278,2,26.5,0,0,1
279,3,7.0,4,1,1
280,3,35.0,1,1,0
281,3,65.0,0,0,1
282,3,28.0,0,0,1
283,3,16.0,0,0,1
284,3,19.0,0,0,1
285,1,42.0,0,0,1
286,3,33.0,0,0,1
287,3,30.0,0,0,1
288,3,22.0,0,0,1
289,2,42.0,0,0,1
290,3,22.0,0,0,0
291,1,26.0,0,0,0
292,1,19.0,1,0,0
293,2,36.0,0,0,1
294,3,24.0,0,0,0
295,3,24.0,0,0,1
296,1,42.0,0,0,1
297,3,23.5,0,0,1
298,1,2.0,1,2,0
299,1,42.0,0,0,1
300,1,50.0,0,1,0
301,3,24.0,0,0,0
302,3,24.0,2,0,1
303,3,19.0,0,0,1
304,2,26.5,0,0,0
305,3,24.0,0,0,1
306,1,0.92,1,2,1
307,1,42.0,0,0,0
308,1,17.0,1,0,0
309,2,30.0,1,0,1
310,1,30.0,0,0,0
311,1,24.0,0,0,0
312,1,18.0,2,2,0
313,2,26.0,1,1,0
314,3,28.0,0,0,1
315,2,43.0,1,1,1
316,3,26.0,0,0,0
317,2,24.0,1,0,0
318,2,54.0,0,0,1
319,1,31.0,0,2,0
320,1,40.0,1,1,0
321,3,22.0,0,0,1
322,3,27.0,0,0,1
323,2,30.0,0,0,0
324,2,22.0,1,1,0
325,3,24.0,8,2,1
326,1,36.0,0,0,0
327,3,61.0,0,0,1
328,2,36.0,0,0,0
329,3,31.0,1,1,0
330,1,16.0,0,1,0
331,3,24.0,2,0,0
332,1,45.5,0,0,1
333,1,38.0,0,1,1
334,3,16.0,2,0,1
335,1,42.0,1,0,0
336,3,24.0,0,0,1
337,1,29.0,1,0,1
338,1,41.0,0,0,0
339,3,45.0,0,0,1
340,1,45.0,0,0,1
341,2,2.0,1,1,1
342,1,24.0,3,2,0
343,2,28.0,0,0,1
344,2,25.0,0,0,1
345,2,36.0,0,0,1
346,2,24.0,0,0,0
347,2,40.0,0,0,0
348,3,24.0,1,0,0
349,3,3.0,1,1,1
350,3,42.0,0,0,1
351,3,23.0,0,0,1
352,1,42.0,0,0,1
353,3,15.0,1,1,1
354,3,25.0,1,0,1
355,3,24.0,0,0,1
356,3,28.0,0,0,1
357,1,22.0,0,1,0
358,2,38.0,0,0,0
359,3,24.0,0,0,0
360,3,24.0,0,0,0
361,3,40.0,1,4,1
362,2,29.0,1,0,1
363,3,45.0,0,1,0
364,3,35.0,0,0,1
365,3,24.0,1,0,1
366,3,30.0,0,0,1
367,1,60.0,1,0,0
368,3,24.0,0,0,0
369,3,24.0,0,0,0
370,1,24.0,0,0,0
371,1,25.0,1,0,1
372,3,18.0,1,0,1
373,3,19.0,0,0,1
374,1,22.0,0,0,1
375,3,3.0,3,1,0
376,1,42.0,1,0,0
377,3,22.0,0,0,0
378,1,27.0,0,2,1
379,3,20.0,0,0,1
380,3,19.0,0,0,1
381,1,42.0,0,0,0
382,3,1.0,0,2,0
383,3,32.0,0,0,1
384,1,35.0,1,0,0
385,3,24.0,0,0,1
386,2,18.0,0,0,1
387,3,1.0,5,2,1
388,2,36.0,0,0,0
389,3,24.0,0,0,1
390,2,17.0,0,0,0
391,1,36.0,1,2,1
392,3,21.0,0,0,1
393,3,28.0,2,0,1
394,1,23.0,1,0,0
395,3,24.0,0,2,0
396,3,22.0,0,0,1
397,3,31.0,0,0,0
398,2,46.0,0,0,1
399,2,23.0,0,0,1
400,2,28.0,0,0,0
401,3,39.0,0,0,1
402,3,26.0,0,0,1
403,3,21.0,1,0,0
404,3,28.0,1,0,1
405,3,20.0,0,0,0
406,2,34.0,1,0,1
407,3,51.0,0,0,1
408,2,3.0,1,1,1
409,3,21.0,0,0,1
410,3,24.0,3,1,0
411,3,24.0,0,0,1
412,3,24.0,0,0,1
413,1,33.0,1,0,0
414,2,26.5,0,0,1
415,3,44.0,0,0,1
416,3,24.0,0,0,0
417,2,34.0,1,1,0
418,2,18.0,0,2,0
